user_id,group,device,age,country,sessions,session_duration,pages_viewed,add_to_cart,purchased,revenue,satisfaction,signup_date
100033,Control,Desktop,32,Bangladesh,5,17.67,8,1,0,0.0,4.7,2026-06-11
100034,Treatment,Mobile,20,India,9,4.08,26,1,1,35.8,3.1,2026-03-04
100035,Treatment,Mobile,39,India,4,9.59,7,0,0,0.0,2.6,2026-02-10
100036,Treatment,Desktop,46,Bangladesh,5,4.79,11,0,0,0.0,3.6,2026-06-14
100037,Control,Mobile,31,UK,4,3.5,7,0,0,0.0,3.5,2026-07-30
100038,Control,Mobile,34,Canada,6,1.61,11,1,0,0.0,2.7,2026-03-24
100039,Treatment,Desktop,18,India,5,7.67,11,1,0,0.0,4.6,2026-05-03
100040,Control,Mobile,27,India,3,5.02,5,0,0,0.0,3.9,2026-04-19
100041,Control,Mobile,25,India,7,8.2,17,0,0,0.0,2.8,2026-03-17
100042,Control,Desktop,23,USA,6,3.99,8,1,0,0.0,3.3,2026-04-26
100043,Control,Desktop,25,India,7,4.73,11,1,0,0.0,3.1,2026-04-22
100044,Treatment,Mobile,26,Bangladesh,4,17.25,8,1,0,0.0,3.3,2026-04-07
100045,Control,Mobile,18,Bangladesh,6,14.46,13,0,0,0.0,3.4,2026-06-14
100046,Treatment,Desktop,27,Canada,3,5.48,5,1,1,48.58,4.1,2026-04-16
100047,Control,Mobile,22,Bangladesh,3,4.35,9,0,0,0.0,3.8,2026-08-01
100048,Treatment,Mobile,38,India,6,7.64,13,0,0,0.0,3.2,2026-01-14
100049,Treatment,Mobile,34,UK,7,13.38,11,0,0,0.0,2.4,2026-05-29
100050,Control,Desktop,34,Bangladesh,3,30.44,7,0,0,0.0,2.3,2026-05-19
100051,Treatment,Mobile,40,India,4,11.06,12,0,0,0.0,3.7,2026-04-26
100052,Treatment,Desktop,24,Bangladesh,3,6.52,5,0,0,0.0,2.7,2026-06-21
100053,Treatment,Mobile,33,Canada,6,4.66,11,1,1,13.34,4.1,2026-07-10
100054,Treatment,Mobile,41,Bangladesh,1,2.22,3,1,0,0.0,2.5,2026-03-31
100055,Treatment,Desktop,23,Bangladesh,7,15.09,19,1,1,69.67,3.3,2026-07-22
100056,Treatment,Tablet,18,India,7,1.63,14,1,0,0.0,3.9,2026-04-21
100057,Control,Mobile,25,USA,3,2.23,5,0,0,0.0,2.6,2026-04-14
100058,Control,Mobile,40,Bangladesh,5,6.7,5,0,0,0.0,3.1,2026-06-29
100059,Control,Desktop,22,Bangladesh,3,8.47,7,0,0,0.0,3.6,2026-05-18
100060,Control,Desktop,27,Bangladesh,5,11.68,14,0,0,0.0,3.9,2026-08-09
100061,Control,Mobile,24,Bangladesh,3,7.78,3,1,0,0.0,2.3,2026-02-25
100062,Control,Mobile,29,USA,4,4.08,10,0,0,0.0,2.9,2026-05-05
100063,Treatment,Desktop,22,Bangladesh,2,10.28,2,0,0,0.0,4.0,2026-02-18
100064,Control,Desktop,18,USA,8,7.01,25,1,0,0.0,3.0,2026-07-06
100065,Control,Desktop,27,USA,5,7.15,10,1,1,26.91,3.4,2026-01-25
100066,Treatment,Mobile,29,UK,2,11.41,4,0,0,0.0,3.1,2026-05-13
100067,Control,Mobile,41,India,5,11.98,8,0,0,0.0,2.4,2026-04-20
100068,Treatment,Desktop,32,Bangladesh,6,4.28,7,1,0,0.0,2.6,2026-03-19
100069,Control,Mobile,20,Bangladesh,6,21.35,8,0,0,0.0,3.5,2026-06-02
100070,Treatment,Mobile,24,Canada,3,12.13,4,0,0,0.0,2.3,2026-04-17
100071,Treatment,Mobile,37,UK,6,,16,0,0,0.0,2.9,2026-04-04
100072,Control,Mobile,27,India,4,3.94,9,0,0,0.0,4.6,2026-01-19
100073,Control,Mobile,21,Canada,3,4.72,7,0,0,0.0,2.6,2026-08-14
100074,Treatment,Desktop,32,,3,3.08,7,0,0,0.0,2.1,2026-01-28
100075,Treatment,Desktop,24,UK,2,3.76,6,1,0,0.0,3.1,2026-05-17
100076,Treatment,Mobile,35,India,3,18.9,5,0,0,0.0,3.1,2026-07-25
100077,Treatment,Mobile,34,UK,4,13.09,11,0,0,0.0,3.1,2026-01-28
100078,Control,Mobile,21,UK,4,4.83,6,1,0,0.0,4.0,2026-02-12
100079,Control,Desktop,47,Bangladesh,9,7.99,20,1,0,0.0,3.1,2026-07-04
100080,Control,Mobile,30,Canada,2,6.29,4,0,0,0.0,2.3,2026-06-27
100081,Treatment,Desktop,18,Bangladesh,4,1.26,6,0,0,0.0,2.2,2026-07-12
100082,Treatment,Mobile,34,Bangladesh,3,9.17,12,0,0,0.0,3.4,2026-08-05
100083,Control,Mobile,18,USA,6,8.73,16,1,0,0.0,3.0,2026-07-17
100084,Control,Desktop,40,India,9,2.94,10,1,1,23.17,4.6,2026-02-13
100085,Control,Mobile,32,UK,4,5.07,5,0,0,0.0,3.0,2026-06-05
100086,Control,Mobile,30,Bangladesh,4,7.13,12,1,0,0.0,3.1,2026-02-11
100087,Treatment,Mobile,30,Bangladesh,5,10.95,16,0,0,0.0,3.4,2026-07-27
100088,Treatment,Mobile,36,Bangladesh,4,7.76,8,1,1,80.84,3.2,2026-06-21
100089,Treatment,Mobile,26,India,3,17.65,7,0,0,0.0,4.5,2026-01-25
100090,Control,Mobile,30,USA,9,18.58,30,1,0,0.0,4.4,2026-01-17
100091,Control,Desktop,31,Bangladesh,6,12.68,6,0,0,0.0,3.7,2026-08-01
100092,Treatment,Desktop,18,India,5,31.54,9,0,0,0.0,2.8,2026-05-09
100093,Treatment,Desktop,36,Bangladesh,4,4.75,9,0,1,31.32,3.5,2026-08-18
100094,Treatment,Mobile,37,USA,7,5.27,20,1,1,43.94,4.4,2026-05-30
100095,Treatment,Desktop,34,Bangladesh,4,16.93,9,0,0,0.0,2.2,2026-03-15
100096,Control,Mobile,34,USA,7,7.86,16,1,0,0.0,2.4,2026-01-09
100097,Treatment,Mobile,45,Bangladesh,4,11.93,9,0,0,0.0,2.8,2026-04-15
100098,Control,Mobile,30,Bangladesh,8,10.91,19,1,0,0.0,3.1,2026-08-13
100099,Control,Tablet,30,UK,6,2.78,10,0,0,0.0,3.7,2026-02-26
100100,Control,Mobile,24,India,2,13.75,3,0,1,132.84,2.9,2026-03-28
100101,Control,Desktop,18,India,2,10.06,4,1,0,0.0,3.0,2026-05-09
100102,Treatment,Mobile,34,USA,7,17.76,16,1,0,0.0,3.1,2026-01-16
100103,Control,Mobile,25,India,7,8.07,16,1,0,0.0,3.0,2026-02-03
100104,Treatment,Mobile,18,USA,10,13.78,20,1,0,0.0,3.6,2026-04-03
100105,Treatment,Desktop,30,USA,4,10.12,3,0,0,0.0,4.5,2026-05-29
100106,Control,Mobile,29,India,11,,7,0,0,0.0,3.3,2026-01-28
100107,Control,Desktop,28,Bangladesh,6,10.79,3,0,0,0.0,3.0,2026-01-13
100108,Treatment,Desktop,31,Bangladesh,4,12.12,10,0,0,0.0,2.9,2026-02-17
100109,Control,Desktop,18,UK,5,4.52,17,0,0,0.0,2.9,2026-06-03
100110,Control,Mobile,39,Canada,4,9.08,11,0,1,42.21,4.9,2026-06-26
100111,Control,Tablet,34,Bangladesh,3,5.68,2,1,0,0.0,2.8,2026-05-24
100112,Control,Desktop,41,Bangladesh,3,12.58,5,1,1,23.53,3.5,2026-07-17
100113,Treatment,Mobile,25,Bangladesh,5,6.35,14,0,1,44.08,3.0,2026-07-28
100114,Treatment,Desktop,34,India,4,3.19,13,1,1,36.65,3.2,2026-06-12
100115,Treatment,Mobile,18,Bangladesh,4,16.89,8,0,0,0.0,3.5,2026-07-21
100116,Treatment,Mobile,23,USA,8,2.5,22,1,1,19.77,3.2,2026-01-12
100117,Treatment,Mobile,18,Canada,6,22.92,12,1,0,0.0,3.8,2026-08-13
100118,Control,Mobile,33,Canada,4,11.33,15,0,0,0.0,3.9,2026-04-20
100119,Treatment,Mobile,20,Bangladesh,7,6.21,10,0,0,0.0,3.0,2026-04-19
100120,Treatment,Mobile,26,Canada,4,7.05,11,1,0,0.0,3.4,2026-07-08
100121,Treatment,Desktop,30,USA,4,6.16,4,0,0,0.0,3.2,2026-05-18
100122,Treatment,Tablet,27,Bangladesh,7,16.67,14,1,1,71.54,3.8,2026-07-31
100123,Control,Tablet,18,Bangladesh,5,5.61,12,1,0,0.0,3.9,2026-04-04
100124,Control,Mobile,45,USA,5,,14,0,0,0.0,3.6,2026-07-25
100125,Control,Mobile,31,Canada,6,17.4,13,0,0,0.0,3.4,2026-02-09
100126,Control,Mobile,45,Bangladesh,6,7.96,23,0,1,27.74,2.9,2026-06-07
100127,Treatment,Desktop,21,Bangladesh,6,22.85,13,0,0,0.0,5.0,2026-01-30
100128,Treatment,Mobile,27,India,6,4.51,11,0,0,0.0,2.2,2026-07-31
100129,Control,Mobile,31,Canada,8,8.13,18,0,1,35.13,4.0,2026-06-18
100130,Treatment,Desktop,44,Canada,4,6.62,10,0,1,32.39,2.8,2026-01-04
100131,Control,Mobile,45,Bangladesh,5,5.22,3,0,0,0.0,2.7,2026-08-11
100132,Control,Mobile,26,Bangladesh,5,6.02,10,1,1,38.21,4.0,2026-03-20
100133,Control,Desktop,24,UK,6,8.49,21,0,0,0.0,2.8,2026-02-07
100134,Control,Mobile,30,USA,11,7.39,27,1,0,0.0,3.9,2026-06-06
100135,Treatment,Mobile,41,Canada,6,17.88,14,0,0,0.0,3.2,2026-01-09
100136,Control,Mobile,31,UK,2,2.93,5,0,0,0.0,2.6,2026-06-26
100137,Treatment,Mobile,33,Bangladesh,9,16.45,15,1,1,179.57,3.2,2026-03-29
100138,Treatment,Mobile,41,USA,5,12.6,13,0,0,0.0,4.4,2026-06-02
100139,Control,Desktop,40,Bangladesh,7,9.53,22,1,0,0.0,3.2,2026-04-03
100140,Treatment,Mobile,40,USA,2,2.44,6,0,0,0.0,2.7,2026-08-27
100141,Treatment,Desktop,37,India,5,4.21,10,1,0,0.0,3.5,2026-06-01
100142,Control,Mobile,43,Canada,6,2.19,10,0,0,0.0,3.3,2026-07-03
100143,Control,Mobile,20,Canada,2,6.98,3,1,0,0.0,4.4,2026-08-30
100144,Control,Desktop,51,Bangladesh,4,6.05,7,1,0,0.0,3.3,2026-02-16
100145,Control,Desktop,41,Bangladesh,4,8.6,11,0,1,30.12,2.7,2026-06-21
100146,Control,Mobile,30,India,7,8.32,18,0,0,0.0,2.0,2026-06-10
100147,Treatment,Tablet,41,UK,6,13.64,13,0,0,0.0,3.3,2026-01-27
100148,Treatment,Mobile,28,USA,1,5.04,1,0,0,0.0,3.4,2026-05-06
100149,Control,Mobile,35,Canada,5,11.2,17,0,0,0.0,3.4,2026-08-02
100150,Control,Desktop,36,India,6,4.24,21,1,0,0.0,4.0,2026-02-26
100151,Treatment,Mobile,39,Bangladesh,3,7.42,10,0,0,0.0,2.2,2026-05-29
100152,Control,Mobile,27,Bangladesh,2,1.64,5,0,0,0.0,2.5,2026-01-25
100153,Control,Mobile,39,Bangladesh,2,1.96,5,0,0,0.0,2.6,2026-03-05
100154,Control,Desktop,27,India,6,4.1,16,1,0,0.0,3.1,2026-02-13
100155,Treatment,Mobile,38,Canada,6,13.44,9,0,1,40.61,2.7,2026-02-06
100156,Control,Mobile,31,Bangladesh,7,10.74,12,1,1,41.44,3.4,2026-04-09
100157,Treatment,Mobile,18,UK,6,11.04,16,0,0,0.0,2.6,2026-06-13
100158,Treatment,Mobile,24,Bangladesh,7,1.84,21,1,0,0.0,3.6,2026-07-01
100159,Control,Mobile,39,Bangladesh,4,1.82,2,0,0,0.0,4.1,2026-05-25
100160,Treatment,Mobile,28,India,6,22.66,12,0,0,0.0,3.4,2026-06-06
100161,Control,Mobile,42,Bangladesh,3,11.16,8,0,0,0.0,2.9,2026-06-14
100162,Treatment,Tablet,20,UK,10,3.77,27,1,0,0.0,3.3,2026-01-17
100163,Treatment,Desktop,37,India,3,14.58,8,1,1,42.63,3.4,2026-01-26
100164,Treatment,Desktop,31,Bangladesh,7,2.06,15,1,0,0.0,4.3,2026-06-20
100165,Control,Mobile,29,UK,2,24.16,1,0,0,0.0,3.7,2026-05-07
100166,Treatment,Mobile,20,Canada,4,3.75,5,0,0,0.0,1.9,2026-08-18
100167,Control,Mobile,33,India,8,1.0,22,1,1,25.05,3.7,2026-03-02
100168,Control,Desktop,22,Bangladesh,5,2.69,6,0,0,0.0,2.8,2026-06-04
100169,Control,Mobile,25,Bangladesh,5,9.93,15,0,0,0.0,3.7,2026-05-29
100170,Treatment,Desktop,30,Bangladesh,5,10.21,10,0,1,26.92,3.8,2026-04-02
100171,Treatment,Tablet,28,Bangladesh,5,6.2,10,1,0,0.0,3.9,2026-05-17
100172,Control,Mobile,40,UK,5,3.48,9,0,0,0.0,2.7,2026-08-02
100173,Treatment,Mobile,18,Bangladesh,7,2.56,18,0,0,0.0,2.6,2026-06-20
100174,Control,Mobile,29,India,3,15.39,5,0,0,0.0,2.6,2026-05-18
100175,Treatment,Mobile,28,India,4,19.05,6,1,0,0.0,4.2,2026-02-24
100176,Control,Mobile,31,UK,3,18.28,9,0,0,0.0,2.0,2026-02-03
100177,Treatment,Desktop,26,Bangladesh,2,10.92,4,0,0,0.0,3.0,2026-02-01
100178,Control,Mobile,40,Bangladesh,6,10.48,14,0,0,0.0,3.1,2026-02-25
100179,Treatment,Mobile,29,Bangladesh,4,7.41,11,1,0,0.0,2.6,2026-06-17
100180,Control,Mobile,32,Bangladesh,4,8.25,7,0,0,0.0,3.4,2026-06-21
100181,Control,Tablet,39,Bangladesh,4,14.25,10,0,0,0.0,2.2,2026-05-31
100182,Control,Desktop,31,India,7,12.82,23,0,0,0.0,2.9,2026-03-20
100183,Treatment,Desktop,20,Bangladesh,2,9.23,3,0,0,0.0,2.4,2026-02-19
100184,Treatment,Tablet,27,Bangladesh,5,6.27,7,0,0,0.0,4.0,2026-05-20
100185,Control,Mobile,30,Bangladesh,7,10.7,14,1,0,0.0,2.8,2026-04-05
100186,Treatment,Mobile,18,Canada,3,13.09,3,0,0,0.0,1.7,2026-02-05
100187,Treatment,Mobile,25,India,2,17.06,6,1,1,27.65,4.9,2026-03-26
100188,Treatment,Mobile,30,UK,7,12.12,15,1,0,0.0,2.8,2026-01-25
100189,Treatment,Desktop,49,Bangladesh,5,17.24,8,0,0,0.0,2.9,2026-08-05
100190,Control,Mobile,34,USA,4,10.73,10,0,0,0.0,2.1,2026-02-18
100191,Control,Mobile,32,Bangladesh,3,9.04,5,0,0,0.0,2.5,2026-02-22
100192,Treatment,Mobile,46,Bangladesh,7,3.66,6,0,1,53.31,2.8,2026-03-30
100193,Treatment,Desktop,36,USA,9,5.71,20,1,1,26.72,4.0,2026-05-22
100194,Treatment,Desktop,38,USA,11,2.25,26,1,1,18.57,2.5,2026-03-15
100195,Control,Mobile,27,Canada,5,26.67,7,0,0,0.0,3.8,2026-07-28
100196,Control,Desktop,20,USA,8,26.61,11,0,0,0.0,3.0,2026-05-20
100197,Treatment,Mobile,33,Bangladesh,4,3.44,6,1,0,0.0,3.0,2026-03-22
100198,Treatment,Mobile,47,Bangladesh,5,2.24,16,0,0,0.0,3.1,2026-01-11
100199,Treatment,Desktop,45,India,6,10.06,20,0,0,0.0,3.3,2026-02-18
100200,Treatment,Tablet,37,Bangladesh,5,8.33,9,1,1,69.57,4.1,2026-03-10
100201,Treatment,Mobile,25,USA,3,9.47,6,1,1,47.12,3.4,2026-04-25
100202,Control,Mobile,18,India,5,10.77,7,1,0,0.0,3.7,2026-08-30
100203,Control,Mobile,24,Canada,7,15.29,19,0,0,0.0,2.2,2026-07-29
100204,Treatment,Mobile,33,India,5,10.23,12,0,1,10.0,2.0,2026-04-10
100205,Treatment,Desktop,27,India,4,42.57,6,1,1,100.16,3.4,2026-02-04
100206,Control,Mobile,40,Bangladesh,5,13.72,15,1,1,47.57,3.3,2026-02-02
100207,Control,Desktop,18,Bangladesh,3,5.29,9,0,0,0.0,2.1,2026-01-26
100208,Treatment,Desktop,30,UK,5,3.52,10,1,0,0.0,3.4,2026-03-04
100209,Control,Mobile,24,Canada,3,18.51,8,0,0,0.0,3.2,2026-03-27
100210,Control,Mobile,40,Bangladesh,6,3.03,13,1,0,0.0,2.2,2026-07-16
100211,Treatment,Mobile,36,USA,2,7.98,4,0,0,0.0,3.7,2026-03-28
100212,Treatment,Mobile,24,India,4,8.92,10,0,1,44.12,2.8,2026-01-09
100213,Treatment,Mobile,39,Canada,6,19.77,22,0,0,0.0,3.6,2026-04-19
100214,Control,Mobile,18,Bangladesh,2,1.0,4,1,0,0.0,4.1,2026-01-15
100215,Treatment,Desktop,18,India,7,4.0,17,0,0,0.0,2.9,2026-02-27
100216,Control,Mobile,23,Bangladesh,6,4.2,15,0,0,0.0,3.8,2026-08-21
100217,Control,Desktop,18,India,4,4.36,7,0,0,0.0,3.8,2026-06-29
100218,Treatment,Mobile,30,Bangladesh,6,12.22,10,1,1,26.72,3.5,2026-05-02
100219,Treatment,Desktop,30,India,6,10.9,16,0,1,24.12,4.6,2026-06-12
100220,Treatment,Tablet,27,India,6,27.65,18,1,1,24.91,4.3,2026-02-16
100221,Treatment,Mobile,36,Bangladesh,5,,18,0,0,0.0,4.7,2026-07-13
100222,Treatment,Desktop,24,USA,7,6.31,21,0,0,0.0,3.1,2026-06-13
100223,Control,Desktop,19,USA,4,3.69,7,1,1,45.05,3.5,2026-01-09
100224,Control,Desktop,24,UK,6,3.47,16,1,1,67.23,3.2,2026-01-22
100225,Control,Desktop,20,Bangladesh,8,6.44,17,1,1,38.07,3.7,2026-07-03
100226,Control,Mobile,25,Bangladesh,4,2.34,6,1,1,36.94,3.9,2026-06-23
100227,Treatment,Mobile,36,India,5,8.46,10,0,0,0.0,2.5,2026-07-21
100228,Control,Mobile,18,Bangladesh,4,3.25,9,0,1,28.38,3.3,2026-03-08
100229,Treatment,Mobile,28,India,4,7.89,13,0,0,0.0,3.2,2026-06-03
100230,Treatment,Tablet,40,Bangladesh,9,1.05,23,0,1,31.98,2.9,2026-05-20
100231,Treatment,Desktop,41,Bangladesh,3,5.05,5,1,1,24.47,2.3,2026-04-17
100232,Treatment,Mobile,25,Bangladesh,4,9.32,11,0,0,0.0,3.9,2026-03-29
100233,Treatment,Desktop,51,Bangladesh,6,13.46,21,1,0,0.0,3.9,2026-06-13
100234,Control,Desktop,22,Canada,8,7.13,19,1,0,0.0,3.9,2026-06-30
100235,Control,Mobile,29,Canada,10,1.42,24,1,0,0.0,1.8,2026-05-27
100236,Treatment,Mobile,20,India,3,3.88,6,0,0,0.0,3.6,2026-07-16
100237,Control,Mobile,35,Bangladesh,4,6.06,9,1,1,41.87,3.8,2026-03-11
100238,Control,Desktop,56,UK,2,9.27,4,0,0,0.0,3.3,2026-05-05
100239,Treatment,Desktop,48,Canada,8,10.77,16,0,0,0.0,4.3,2026-02-18
100240,Control,Mobile,39,UK,3,11.12,7,1,1,28.91,4.0,2026-08-18
100241,Treatment,Mobile,26,India,7,12.21,17,1,1,30.83,4.3,2026-02-18
100242,Treatment,Desktop,29,Bangladesh,5,11.29,12,1,1,39.54,2.8,2026-01-10
100243,Treatment,Tablet,41,Bangladesh,4,8.25,9,0,0,0.0,3.0,2026-05-04
100244,Control,Desktop,38,UK,3,3.86,5,1,1,44.73,3.1,2026-04-24
100245,Control,Mobile,32,UK,3,16.18,9,0,0,0.0,4.5,2026-06-01
100246,Treatment,Mobile,32,Bangladesh,4,8.64,7,1,0,0.0,3.1,2026-02-17
100247,Control,Mobile,41,Bangladesh,7,7.24,11,1,0,0.0,2.5,2026-08-30
100248,Treatment,Mobile,43,India,5,14.29,7,1,0,0.0,3.2,2026-01-31
100249,Treatment,Desktop,18,USA,4,16.77,9,1,0,0.0,3.2,2026-03-20
100250,Treatment,Mobile,33,USA,6,9.19,5,1,0,0.0,3.6,2026-03-20
100251,Control,Desktop,36,India,8,3.17,4,0,0,0.0,2.7,2026-06-04
100252,Control,Mobile,26,Bangladesh,2,1.97,7,1,0,0.0,3.3,2026-06-30
100253,Treatment,Desktop,43,Bangladesh,5,9.33,7,0,0,0.0,3.5,2026-05-17
100254,Control,Mobile,28,USA,3,11.81,5,1,0,0.0,3.3,2026-03-19
100255,Control,Mobile,43,USA,7,1.92,14,0,0,0.0,2.8,2026-04-08
100256,Treatment,Mobile,28,Bangladesh,4,5.14,9,0,1,26.36,2.9,2026-07-11
100257,Treatment,Mobile,33,Bangladesh,10,4.95,22,1,0,0.0,4.3,2026-08-02
100258,Treatment,Tablet,33,India,5,6.26,11,1,0,0.0,2.6,2026-06-28
100259,Treatment,Mobile,46,Bangladesh,10,7.97,5,1,1,62.86,3.1,2026-05-07
100260,Control,Mobile,38,India,4,7.82,13,0,1,59.84,4.2,2026-06-03
100261,Treatment,Desktop,27,India,8,16.18,14,0,1,49.89,3.2,2026-05-07
100262,Treatment,Desktop,29,USA,2,19.99,6,0,0,0.0,3.5,2026-03-20
100263,Control,Mobile,29,USA,10,18.39,12,1,1,50.65,4.2,2026-01-14
100264,Treatment,Tablet,31,Bangladesh,1,10.13,3,0,0,0.0,3.5,2026-03-18
100265,Treatment,Mobile,22,India,3,6.22,6,0,0,0.0,2.3,2026-08-05
100266,Treatment,Mobile,30,Bangladesh,6,11.97,11,0,0,0.0,3.1,2026-07-21
100267,Treatment,Mobile,43,UK,3,8.94,8,1,0,0.0,2.9,2026-07-11
100268,Treatment,Mobile,43,UK,4,26.57,11,1,0,0.0,3.8,2026-06-10
100269,Control,Mobile,18,Bangladesh,3,6.16,7,0,0,0.0,1.6,2026-07-17
100270,Control,Mobile,18,Bangladesh,6,23.53,14,1,0,0.0,,2026-06-12
100271,Treatment,Mobile,26,Bangladesh,4,9.81,12,1,0,0.0,3.4,2026-06-11
100272,Treatment,Desktop,18,India,4,13.02,6,0,1,25.91,3.9,2026-06-28
100273,Treatment,Mobile,20,Bangladesh,4,7.23,12,1,0,0.0,1.7,2026-08-27
100274,Treatment,Tablet,34,India,3,8.2,10,0,0,0.0,2.7,2026-01-24
100275,Treatment,Desktop,31,India,8,13.02,13,1,1,50.42,3.7,2026-02-01
100276,Treatment,Mobile,18,India,4,15.78,4,0,0,0.0,3.5,2026-01-23
100277,Treatment,Mobile,42,UK,4,5.95,12,1,0,0.0,2.7,2026-04-14
100278,Treatment,Mobile,27,Bangladesh,7,5.85,6,1,0,0.0,2.6,2026-02-25
100279,Treatment,Desktop,26,UK,6,7.59,8,0,0,0.0,3.6,2026-01-29
100280,Treatment,Mobile,40,Bangladesh,2,5.45,2,0,0,0.0,3.8,2026-04-11
100281,Treatment,Mobile,35,Bangladesh,4,3.91,9,1,1,109.91,3.5,2026-04-02
100282,Control,Desktop,31,Bangladesh,6,4.26,8,0,1,34.04,3.9,2026-01-20
100283,Control,Desktop,27,India,3,3.51,7,0,0,0.0,2.3,2026-05-23
100284,Control,Mobile,36,Bangladesh,7,3.87,20,1,0,0.0,3.7,2026-07-09
100285,Treatment,Mobile,27,India,3,5.58,8,1,0,0.0,3.7,2026-07-07
100286,Control,Desktop,29,Bangladesh,5,7.98,13,0,0,0.0,3.8,2026-01-13
100287,Control,Desktop,20,UK,3,6.53,7,1,0,0.0,3.4,2026-03-14
100288,Treatment,Mobile,41,India,5,7.45,14,0,1,24.24,2.8,2026-01-24
100289,Control,Mobile,45,India,5,7.75,11,1,1,14.49,3.5,2026-06-30
100290,Treatment,Desktop,33,Canada,3,6.66,8,0,0,0.0,,2026-07-20
100291,Control,Desktop,27,USA,4,1.0,8,0,0,0.0,3.0,2026-04-25
100292,Control,Desktop,39,Bangladesh,5,6.09,8,0,1,70.68,3.3,2026-03-21
100293,Treatment,Mobile,36,India,7,2.72,25,0,1,29.39,3.6,2026-02-15
100294,Control,Desktop,27,India,3,4.0,7,1,0,0.0,3.7,2026-02-25
100295,Control,Mobile,41,Bangladesh,7,6.82,17,0,0,0.0,3.0,2026-01-01
100296,Treatment,Mobile,27,Bangladesh,2,6.26,5,0,1,27.44,4.6,2026-08-05
100297,Treatment,Desktop,19,Bangladesh,4,21.34,9,1,1,114.07,4.1,2026-07-20
100298,Control,Mobile,30,USA,3,13.08,5,0,0,0.0,3.2,2026-01-07
100299,Treatment,Desktop,41,Bangladesh,8,7.67,9,1,0,0.0,2.9,2026-06-13
100300,Control,Mobile,32,Bangladesh,5,2.6,10,1,0,0.0,2.9,2026-03-10
100301,Control,Desktop,20,Bangladesh,7,12.78,10,1,1,17.93,3.4,2026-02-02
100302,Treatment,Mobile,27,India,7,7.28,13,0,0,0.0,4.1,2026-05-31
100303,Treatment,Desktop,42,India,5,6.51,13,1,0,0.0,2.3,2026-05-01
100304,Treatment,Mobile,33,India,2,11.27,3,0,0,0.0,3.1,2026-01-10
